DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
United States,,US,USA,United States,Public Sector,2001-2005,Contribution,Source Currency,USD,2004,Dec,458881278
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2001-2005,Pledge,Source Currency,USD,2005,Dec,2500000
Denmark,,DK,DNK,Denmark,Public Sector,2011-2013,Pledge,USD Equivalent,DKK,2013,Dec,25358960.46
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2013,Dec,60000000
Germany,,DE,DEU,Germany,Public Sector,2017-2019,Pledge,Source Currency,EUR,2018,Dec,40000000
France,[1],FR,FRA,France,Public Sector,2011-2013,Pledge,USD Equivalent,EUR,2013,Dec,459676074.3
Denmark,,DK,DNK,Denmark,Public Sector,2014-2016,Pledge,USD Equivalent,DKK,2015,Dec,-23685025
France,,FR,FRA,France,Public Sector,2008-2010,Contribution,Source Currency,EUR,2010,Dec,300000000
Brazil,,BR,BRA,Brazil,Public Sector,2006-2007,Contribution,USD Equivalent,USD,2006,Dec,52355.08
Sweden,,SE,SWE,Sweden,Public Sector,2001-2005,Contribution,Source Currency,SEK,2004,Dec,361000000
Ireland,,IE,IRL,Ireland,Public Sector,2020-2022,Contribution,Source Currency,EUR,2020,May,15000000
Ireland,,IE,IRL,Ireland,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2014,Dec,1779827.6
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2001-2005,Pledge,USD Equivalent,GBP,2005,Dec,96004439.9
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2008-2010,Contribution,Source Currency,USD,2010,Dec,5456879.79
India,,IN,IND,India,Public Sector,2011-2013,Contribution,Source Currency,USD,2014,Mar,3000000
Kuwait,,KW,KWT,Kuwait,Public Sector,2017-2019,Pledge,USD Equivalent,USD,2016,Sep,5000000
Japan,,JP,JPN,Japan,Public Sector,2008-2010,Pledge,USD Equivalent,USD,2010,Dec,246870005
Australia,,AU,AUS,Australia,Public Sector,2017-2019,Contribution,Source Currency,AUD,2018,Aug,39000000
Benin,,BJ,BEN,Benin,Public Sector,2017-2019,Pledge,USD Equivalent,USD,2016,Sep,2000000
Switzerland,,CH,CHE,Switzerland,Public Sector,2020-2022,Contribution,USD Equivalent,CHF,2022,Jun,22940405.36
France,,FR,FRA,France,Public Sector,2014-2016,Contribution,Source Currency,EUR,2017,Dec,25000000
Portugal,,PT,PRT,Portugal,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2020,Dec,165444.21
Switzerland,,CH,CHE,Switzerland,Public Sector,2020-2022,Contribution,Source Currency,CHF,2020,Aug,18500000
Kuwait,,KW,KWT,Kuwait,Public Sector,2011-2013,Pledge,Source Currency,USD,2013,Dec,500000
Canada,,CA,CAN,Canada,Public Sector,2011-2013,Contribution,Source Currency,CAD,2013,Dec,180000000
Belgium,,BE,BEL,Belgium,Public Sector,2017-2019,Pledge,Source Currency,EUR,2016,Sep,57000000
China,,CN,CHN,China,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,18000000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2008-2010,Contribution,Source Currency,USD,2010,Dec,6000000
Japan,,JP,JPN,Japan,Public Sector,2020-2022,Contribution,Source Currency,USD,2021,Mar,109060000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2008-2010,Contribution,USD Equivalent,GBP,2010,Dec,308465200
Norway,,NO,NOR,Norway,Public Sector,2017-2019,Contribution,USD Equivalent,NOK,2018,Mar,42547501.5
Kuwait,,KW,KWT,Kuwait,Public Sector,2014-2016,Pledge,Source Currency,USD,2013,Dec,1500000
Poland,,PL,POL,Poland,Public Sector,2001-2005,Pledge,Source Currency,USD,2005,Dec,10000
Barbados,,BB,BRB,Barbados,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2004,Dec,100000
Sweden,,SE,SWE,Sweden,Public Sector,2008-2010,Pledge,USD Equivalent,SEK,2009,Dec,89743141.2
Germany,,DE,DEU,Germany,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2008,Dec,312202200
Belgium,,BE,BEL,Belgium,Public Sector,2006-2007,Contribution,USD Equivalent,EUR,2006,Dec,10295437.36
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2020,Jan,175000
Canada,,CA,CAN,Canada,Public Sector,2017-2019,Contribution,Source Currency,CAD,2017,Aug,261666666
Netherlands,,NL,NLD,Netherlands,Public Sector,2020-2022,Pledge,Source Currency,EUR,2019,Oct,156000000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2017-2019,Contribution,Source Currency,EUR,2018,Mar,2700000
Kuwait,,KW,KWT,Kuwait,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2016,Apr,500000
New Zealand,,NZ,NZL,New Zealand,Public Sector,2001-2005,Contribution,USD Equivalent,NZD,2003,Dec,734000
Sweden,,SE,SWE,Sweden,Public Sector,2006-2007,Pledge,USD Equivalent,SEK,2007,Dec,60095250.97
United States,,US,USA,United States,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2017,Nov,315000000
Nigeria,,NG,NGA,Nigeria,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2021,Jan,10167052.5
Japan,,JP,JPN,Japan,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2019,Nov,7230537
Portugal,,PT,PRT,Portugal,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2017,Nov,56110.42
Ireland,,IE,IRL,Ireland,Public Sector,2020-2022,Pledge,Source Currency,EUR,2019,Oct,50000000
Malta,,MT,MLT,Malta,Public Sector,2020-2022,Contribution,Source Currency,EUR,2020,Dec,100000
Norway,,NO,NOR,Norway,Public Sector,2020-2022,Pledge,Source Currency,NOK,2019,Oct,2040000000
Poland,,PL,POL,Poland,Public Sector,2001-2005,Contribution,Source Currency,USD,2005,Dec,10000
China,,CN,CHN,China,Public Sector,2008-2010,Pledge,Source Currency,USD,2008,Dec,2000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2020-2022,Contribution,Source Currency,USD,2020,Dec,8769344.15
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2014-2016,Contribution,USD Equivalent,GBP,2014,Jul,466524793.5
Australia,,AU,AUS,Australia,Public Sector,2017-2019,Contribution,USD Equivalent,AUD,2017,Dec,18351429.84
Zimbabwe,,ZW,ZWE,Zimbabwe,Public Sector,2014-2016,Pledge,Source Currency,USD,2013,Dec,1000000
Australia,,AU,AUS,Australia,Public Sector,2008-2010,Pledge,Source Currency,AUD,2009,Dec,46500000
Canada,,CA,CAN,Canada,Public Sector,2014-2016,Contribution,Source Currency,CAD,2015,Dec,190666667
European Commission,,,,,Public Sector,2017-2019,Contribution,Source Currency,EUR,2019,Jan,25000000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2011-2013,Pledge,USD Equivalent,CHF,2011,Dec,105368.53
Hungary,,HU,HUN,Hungary,Public Sector,2001-2005,Contribution,Source Currency,USD,2005,Dec,12000
Australia,,AU,AUS,Australia,Public Sector,2017-2019,Contribution,Source Currency,AUD,2019,Jan,4050000
United States,"[6,1]",US,USA,United States,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2002,Dec,300000000
Canada,,CA,CAN,Canada,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2003,Dec,25000000
Canada,,CA,CAN,Canada,Public Sector,2017-2019,Contribution,Source Currency,CAD,2019,Sep,261666667
European Commission,,,,,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2019,Dec,81921221.23
Portugal,,PT,PRT,Portugal,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2008,Dec,3000000
Germany,,DE,DEU,Germany,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2010,Dec,265751520
Australia,,AU,AUS,Australia,Public Sector,2014-2016,Contribution,Source Currency,AUD,2015,May,69000000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2008-2010,Pledge,Source Currency,USD,2008,Dec,100000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Pledge,Source Currency,EUR,2015,Sep,-10000000
Ireland,,IE,IRL,Ireland,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2003,Dec,11161430
Sweden,,SE,SWE,Sweden,Public Sector,2001-2005,Pledge,Source Currency,SEK,2004,Dec,361000000
Portugal,,PT,PRT,Portugal,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2019,Dec,275740.36
Denmark,,DK,DNK,Denmark,Public Sector,2014-2016,Contribution,USD Equivalent,DKK,2014,Apr,30061762.5
Sweden,,SE,SWE,Sweden,Public Sector,2020-2022,Contribution,USD Equivalent,SEK,2021,Mar,96719675.83
New Zealand,,NZ,NZL,New Zealand,Public Sector,2001-2005,Pledge,Source Currency,NZD,2003,Dec,1250000
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,Source Currency,USD,2020,Mar,113553.04
South Africa,,ZA,ZAF,South Africa,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2019,Jul,1500000
Canada,,CA,CAN,Canada,Public Sector,2020-2022,Pledge,USD Equivalent,CAD,2022,Feb,26311832.8
Zimbabwe,,ZW,ZWE,Zimbabwe,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2018,Mar,100000
Switzerland,,CH,CHE,Switzerland,Public Sector,2006-2007,Contribution,Source Currency,CHF,2006,Dec,6000000
Sweden,,SE,SWE,Sweden,Public Sector,2001-2005,Contribution,USD Equivalent,SEK,2004,Dec,47780623.1
European Commission,,,,,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2021,Dec,769231.28
Kenya,,KE,KEN,Kenya,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2015,May,1000000
Thailand,,TH,THA,Thailand,Public Sector,2001-2005,Contribution,Source Currency,USD,2005,Dec,1000000
Belgium,,BE,BEL,Belgium,Public Sector,2011-2013,Pledge,Source Currency,EUR,2011,Dec,21000000
Greece,,GR,GRC,Greece,Public Sector,2020-2022,Contribution,Source Currency,EUR,2020,Oct,50000
Monaco,,MC,MCO,Monaco,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2019,Oct,441184.58
South Africa,,ZA,ZAF,South Africa,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2018,Oct,1500000
Denmark,,DK,DNK,Denmark,Public Sector,2017-2019,Contribution,USD Equivalent,DKK,2018,Aug,22598273.97
Australia,,AU,AUS,Australia,Public Sector,2017-2019,Contribution,Source Currency,AUD,2017,Dec,24000000
France,,FR,FRA,France,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2009,Dec,408509374.56
United Arab Emirates,,AE,ARE,United Arab Emirates,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2019,Oct,55148072.57
Monaco,,MC,MCO,Monaco,Public Sector,2001-2005,Pledge,Source Currency,USD,2002,Dec,44000
Portugal,,PT,PRT,Portugal,Public Sector,2014-2016,Pledge,Source Currency,EUR,2013,Dec,50000
Romania,,RO,ROU,Romania,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2009,Dec,107613.28
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2006-2007,Contribution,USD Equivalent,USD,2007,Dec,100000
Senegal,,SN,SEN,Senegal,Public Sector,2017-2019,Contribution,Source Currency,EUR,2019,Oct,762187.46
Namibia,,NA,NAM,Namibia,Public Sector,2017-2019,Pledge,Source Currency,USD,2016,Sep,1500000
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2002,Dec,8087400
Denmark,,DK,DNK,Denmark,Public Sector,2001-2005,Contribution,USD Equivalent,DKK,2002,Dec,14816510.98
Thailand,,TH,THA,Thailand,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2014,Jun,100904.66
Senegal,,SN,SEN,Senegal,Public Sector,2017-2019,Pledge,USD Equivalent,USD,2016,Sep,1000000
Georgia,,GE,GEO,Georgia,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2013,Dec,20000
Japan,,JP,JPN,Japan,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2005,Dec,100000000
Kuwait,,KW,KWT,Kuwait,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2015,Apr,500000
United States,"[6,1]",US,USA,United States,Public Sector,2001-2005,Pledge,Source Currency,USD,2002,Dec,300000000
United States,,US,USA,United States,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2018,Jun,610000000
Portugal,,PT,PRT,Portugal,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2018,Feb,13466.5
Sweden,,SE,SWE,Sweden,Public Sector,2020-2022,Pledge,USD Equivalent,SEK,2019,Oct,290159027.5
Slovenia,,SI,SVN,Slovenia,Public Sector,2006-2007,Contribution,Source Currency,EUR,2007,Dec,30000
United States,,US,USA,United States,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2010,Dec,999080182
Denmark,,DK,DNK,Denmark,Public Sector,2014-2016,Contribution,Source Currency,DKK,2016,Dec,30000000
South Africa,,ZA,ZAF,South Africa,Public Sector,2017-2019,Contribution,Source Currency,USD,2019,Jul,1500000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2005,Dec,2418200
Namibia,,NA,NAM,Namibia,Public Sector,2014-2016,Contribution,Source Currency,USD,2014,Dec,250000
New Zealand,,NZ,NZL,New Zealand,Public Sector,2020-2022,Contribution,Source Currency,NZD,2022,Jun,8500000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2008-2010,Pledge,Source Currency,GBP,2008,Dec,50000000
United States,,US,USA,United States,Public Sector,2017-2019,Contribution,Source Currency,USD,2020,Mar,550000000
Thailand,,TH,THA,Thailand,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2022,Jan,1343648.85
France,,FR,FRA,France,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2003,Dec,63780750
Belgium,,BE,BEL,Belgium,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2009,Dec,23332020.88
South Africa,,ZA,ZAF,South Africa,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2021,Oct,3000000
Norway,,NO,NOR,Norway,Public Sector,2020-2022,Contribution,Source Currency,NOK,2020,Dec,328518000
Thailand,,TH,THA,Thailand,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2020,Oct,35023
European Commission,,,,,Public Sector,2017-2019,Contribution,Source Currency,EUR,2019,Dec,73000000
France,[1],FR,FRA,France,Public Sector,2020-2022,Pledge,Source Currency,EUR,2019,Oct,1296000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2014-2016,Pledge,Source Currency,KRW,2014,Jan,6380000000
United States,"[1,6]",US,USA,United States,Public Sector,2006-2007,Pledge,Source Currency,USD,2006,Dec,512989105.1
Ireland,,IE,IRL,Ireland,Public Sector,2008-2010,Pledge,Source Currency,EUR,2009,Dec,23550000
Japan,,JP,JPN,Japan,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2018,May,8928571
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2001-2005,Pledge,Source Currency,USD,2004,Dec,2500000
France,,FR,FRA,France,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2020,Jul,104781337.89
European Commission,,,,,Public Sector,2011-2013,Contribution,USD Equivalent,EUR,2011,Dec,147131000
Ireland,,IE,IRL,Ireland,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2020,May,16544421.77
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2011-2013,Pledge,Source Currency,USD,2011,Dec,1999982
Kuwait,,KW,KWT,Kuwait,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2012,Dec,499965
Thailand,,TH,THA,Thailand,Public Sector,2008-2010,Pledge,USD Equivalent,USD,2008,Dec,1000000
Italy,,IT,ITA,Italy,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2008,Dec,186890600
Netherlands,[1],NL,NLD,Netherlands,Public Sector,2014-2016,Pledge,USD Equivalent,EUR,2013,Dec,251427025
Finland,,FI,FIN,Finland,Public Sector,2006-2007,Pledge,Source Currency,EUR,2007,Dec,2500000
France,,FR,FRA,France,Public Sector,2014-2016,Contribution,Source Currency,EUR,2014,Aug,99500000
Monaco,,MC,MCO,Monaco,Public Sector,2001-2005,Contribution,Source Currency,USD,2003,Dec,44000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2014,Oct,679532.5
European Commission,,,,,Public Sector,2011-2013,Pledge,Source Currency,EUR,2012,Dec,100000000
China,,CN,CHN,China,Public Sector,2008-2010,Contribution,Source Currency,USD,2008,Dec,2000000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2017-2019,Pledge,Source Currency,CHF,2017,Aug,100000
Italy,,IT,ITA,Italy,Public Sector,2008-2010,Pledge,Source Currency,EUR,2009,Dec,130000000
Finland,,FI,FIN,Finland,Public Sector,2011-2013,Pledge,Source Currency,EUR,2011,Dec,4000000
France,[1],FR,FRA,France,Public Sector,2011-2013,Pledge,Source Currency,EUR,2012,Dec,360000000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2006-2007,Contribution,Source Currency,USD,2007,Dec,100000
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Pledge,Source Currency,EUR,2005,Dec,46000000
Sweden,,SE,SWE,Sweden,Public Sector,2006-2007,Pledge,Source Currency,SEK,2006,Dec,600000000
Greece,,GR,GRC,Greece,Public Sector,2001-2005,Contribution,Source Currency,EUR,2005,Dec,250000
Australia,,AU,AUS,Australia,Public Sector,2017-2019,Contribution,USD Equivalent,AUD,2018,Jul,20607126.42
Namibia,,NA,NAM,Namibia,Public Sector,2011-2013,Contribution,Source Currency,USD,2011,Dec,250000
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2005,Dec,56067100
France,,FR,FRA,France,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2019,Jun,40771950
Germany,,DE,DEU,Germany,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2018,Nov,72943553.15
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2011-2013,Pledge,Source Currency,GBP,2011,Dec,150000000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2011-2013,Contribution,Source Currency,USD,2012,Dec,8300000
Italy,,IT,ITA,Italy,Public Sector,2001-2005,Pledge,Source Currency,EUR,2004,Dec,100000000
Italy,,IT,ITA,Italy,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2010,Dec,183950000
Germany,,DE,DEU,Germany,Public Sector,2011-2013,Pledge,Source Currency,EUR,2013,Dec,200000000
Norway,,NO,NOR,Norway,Public Sector,2011-2013,Pledge,USD Equivalent,NOK,2011,Dec,75700227.1
Mexico,,MX,MEX,Mexico,Public Sector,2001-2005,Contribution,Source Currency,USD,2005,Dec,100000
China,,CN,CHN,China,Public Sector,2006-2007,Pledge,Source Currency,USD,2006,Dec,2000000
Switzerland,,CH,CHE,Switzerland,Public Sector,2020-2022,Pledge,Source Currency,CHF,2021,Jun,50000000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2014-2016,Contribution,Source Currency,USD,2016,May,8000000
Spain,,ES,ESP,Spain,Public Sector,2006-2007,Contribution,Source Currency,EUR,2006,Dec,51500000
Japan,,JP,JPN,Japan,Public Sector,2014-2016,Contribution,Source Currency,USD,2014,Mar,289024391
Chad,,TD,TCD,Chad,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,1000000
New Zealand,,NZ,NZL,New Zealand,Public Sector,2001-2005,Pledge,Source Currency,NZD,2004,Dec,1000000
Sweden,,SE,SWE,Sweden,Public Sector,2001-2005,Contribution,Source Currency,SEK,2003,Dec,100000000
Madagascar,,MG,MDG,Madagascar,Public Sector,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,1000000
Zambia,,ZM,ZMB,Zambia,Public Sector,2017-2019,Pledge,USD Equivalent,USD,2016,Oct,3000000
Japan,,JP,JPN,Japan,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2010,Dec,246870005
Denmark,,DK,DNK,Denmark,Public Sector,2008-2010,Contribution,Source Currency,DKK,2009,Dec,175000000
Switzerland,,CH,CHE,Switzerland,Public Sector,2001-2005,Pledge,USD Equivalent,CHF,2004,Dec,2343383.85
Sweden,,SE,SWE,Sweden,Public Sector,2011-2013,Pledge,Source Currency,SEK,2013,Dec,700000000
Greece,,GR,GRC,Greece,Public Sector,2001-2005,Pledge,Source Currency,EUR,2005,Dec,250000
Japan,,JP,JPN,Japan,Public Sector,2017-2019,Contribution,Source Currency,USD,2018,May,8928571
Italy,[1],IT,ITA,Italy,Public Sector,2020-2022,Pledge,Source Currency,EUR,2019,Oct,161000000
United States,"[6,1]",US,USA,United States,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2013,Dec,4002278753.78
Belgium,,BE,BEL,Belgium,Public Sector,2011-2013,Contribution,USD Equivalent,EUR,2011,Dec,26867400
Finland,,FI,FIN,Finland,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2010,Dec,4387600
Other Public,[1],,,,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,1500000
Belgium,,BE,BEL,Belgium,Public Sector,2006-2007,Pledge,Source Currency,EUR,2006,Dec,8049995.51
Burundi,,BI,BDI,Burundi,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,1000000
Germany,,DE,DEU,Germany,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2022,Mar,193018254.01
United States,,US,USA,United States,Public Sector,2014-2016,Contribution,Source Currency,USD,2016,May,867000000
Japan,,JP,JPN,Japan,Public Sector,2020-2022,Contribution,Source Currency,USD,2019,Nov,1001463
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2008-2010,Pledge,Source Currency,USD,2008,Dec,78405041.56
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2008-2010,Pledge,Source Currency,USD,2010,Dec,5456879.79
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2019,Apr,278232.77
Sweden,,SE,SWE,Sweden,Public Sector,2008-2010,Contribution,USD Equivalent,SEK,2010,Dec,74041166.89
Thailand,,TH,THA,Thailand,Public Sector,2011-2013,Pledge,Source Currency,USD,2011,Dec,999973
United States,,US,USA,United States,Public Sector,2011-2013,Contribution,USD Equivalent,USD,2011,Dec,993549768
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2017-2019,Pledge,Source Currency,USD,2014,Jan,2000000
United States,,US,USA,United States,Public Sector,2008-2010,Contribution,Source Currency,USD,2008,Dec,808189412
European Commission,,,,,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2016,Sep,72709977.5
Namibia,,NA,NAM,Namibia,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2015,Feb,750000
Norway,,NO,NOR,Norway,Public Sector,2001-2005,Contribution,Source Currency,NOK,2005,Dec,151541000
Slovenia,,SI,SVN,Slovenia,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2008,Dec,53336
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2012,Dec,20000000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2001-2005,Pledge,Source Currency,USD,2003,Dec,2500000
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Pledge,USD Equivalent,EUR,2003,Dec,43590360
Italy,,IT,ITA,Italy,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2021,Aug,292913.25
Senegal,,SN,SEN,Senegal,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,1000000
Norway,,NO,NOR,Norway,Public Sector,2017-2019,Contribution,USD Equivalent,NOK,2017,Dec,72938574
Japan,,JP,JPN,Japan,Public Sector,2011-2013,Pledge,Source Currency,USD,2012,Dec,342876738
Belgium,,BE,BEL,Belgium,Public Sector,2020-2022,Pledge,Source Currency,EUR,2017,Jun,15000000
Canada,,CA,CAN,Canada,Public Sector,2006-2007,Pledge,Source Currency,CAD,2006,Dec,125000000
Kuwait,,KW,KWT,Kuwait,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2009,Dec,500000
Sweden,,SE,SWE,Sweden,Public Sector,2011-2013,Contribution,USD Equivalent,SEK,2013,Dec,106230484.2
Sweden,,SE,SWE,Sweden,Public Sector,2020-2022,Contribution,Source Currency,SEK,2020,Apr,950000000
Singapore,,SG,SGP,Singapore,Public Sector,2006-2007,Pledge,Source Currency,USD,2007,Dec,200000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2020,Mar,2977995.91
Portugal,,PT,PRT,Portugal,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2019,May,827221.08
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2011-2013,Pledge,Source Currency,USD,2013,Dec,20000000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Contribution,Source Currency,EUR,2015,Nov,110000000
Germany,,DE,DEU,Germany,Public Sector,2008-2010,Contribution,Source Currency,EUR,2009,Dec,200000000
Canada,,CA,CAN,Canada,Public Sector,2001-2005,Contribution,Source Currency,USD,2002,Dec,25000000
Denmark,,DK,DNK,Denmark,Public Sector,2001-2005,Contribution,USD Equivalent,DKK,2005,Dec,22841480.13
Canada,,CA,CAN,Canada,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2004,Dec,50005530
New Zealand,,NZ,NZL,New Zealand,Public Sector,2020-2022,Contribution,USD Equivalent,NZD,2021,Feb,316656.11
Other Public,,,,,Public Sector,2020-2022,Pledge,Source Currency,USD,2020,Feb,-500000
United States,,US,USA,United States,Public Sector,2001-2005,Contribution,Source Currency,USD,2003,Dec,322725000
Canada,,CA,CAN,Canada,Public Sector,2001-2005,Pledge,Source Currency,CAD,2005,Dec,140000000
France,,FR,FRA,France,Public Sector,2011-2013,Pledge,USD Equivalent,EUR,2011,Dec,478614980.58
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2011-2013,Contribution,USD Equivalent,GBP,2013,Dec,205013135.8
Switzerland,,CH,CHE,Switzerland,Public Sector,2020-2022,Pledge,USD Equivalent,CHF,2021,Jun,50418473.32
Senegal,,SN,SEN,Senegal,Public Sector,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,1000000
Portugal,,PT,PRT,Portugal,Public Sector,2006-2007,Pledge,USD Equivalent,USD,2006,Dec,2000000
Andorra,,AD,AND,Andorra,Public Sector,2001-2005,Pledge,Source Currency,USD,2002,Dec,100000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2021,Jul,5000000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2013,Dec,25000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2014-2016,Pledge,USD Equivalent,USD,2014,Jan,-6000000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2001-2005,Contribution,Source Currency,EUR,2002,Dec,1000000
Belgium,,BE,BEL,Belgium,Public Sector,2001-2005,Pledge,Source Currency,EUR,2005,Dec,5050004.29
Thailand,,TH,THA,Thailand,Public Sector,2020-2022,Contribution,Source Currency,USD,2021,Sep,5900
Sweden,,SE,SWE,Sweden,Public Sector,2020-2022,Contribution,Source Currency,SEK,2022,Jun,650000000
Ireland,,IE,IRL,Ireland,Public Sector,2001-2005,Pledge,USD Equivalent,EUR,2005,Dec,17111900.01
