DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
Iceland,,IS,ISL,Iceland,Public Sector,2001-2005,Contribution,USD Equivalent,ISK,2005,Dec,214408.23
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Contribution,Source Currency,EUR,2016,Mar,52500000
Portugal,,PT,PRT,Portugal,Public Sector,2017-2019,Pledge,USD Equivalent,EUR,2018,Jun,100998.76
European Commission,,,,,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2015,May,138480541.92
Italy,,IT,ITA,Italy,Public Sector,2006-2007,Pledge,USD Equivalent,EUR,2006,Dec,180375000
China,,CN,CHN,China,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2015,Sep,5000000
Other Public,[1],,,,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2019,Oct,60111399.1
South Africa,,ZA,ZAF,South Africa,Public Sector,2001-2005,Contribution,Source Currency,USD,2004,Dec,2000000
Kuwait,,KW,KWT,Kuwait,Public Sector,2011-2013,Pledge,Source Currency,USD,2011,Dec,500000
European Commission,,,,,Public Sector,2001-2005,Pledge,Source Currency,EUR,2003,Dec,42000000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2014,Sep,112122862.5
Namibia,,NA,NAM,Namibia,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2014,Dec,250000
Germany,,DE,DEU,Germany,Public Sector,2008-2010,Pledge,Source Currency,EUR,2010,Dec,204000000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2010,Dec,6000000
China,,CN,CHN,China,Public Sector,2014-2016,Contribution,Source Currency,USD,2015,Sep,5000000
France,,FR,FRA,France,Public Sector,2001-2005,Pledge,USD Equivalent,EUR,2004,Dec,182066450
Belgium,,BE,BEL,Belgium,Public Sector,2011-2013,Pledge,Source Currency,EUR,2012,Dec,21000000
European Commission,,,,,Public Sector,2011-2013,Pledge,USD Equivalent,EUR,2011,Dec,166110500
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2014-2016,Contribution,USD Equivalent,CHF,2014,Apr,110363.09
Australia,,AU,AUS,Australia,Public Sector,2017-2019,Contribution,Source Currency,AUD,2019,Jul,10600000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2002,Dec,100000
Belgium,,BE,BEL,Belgium,Public Sector,2001-2005,Pledge,USD Equivalent,EUR,2002,Dec,12207408.76
